,user_ID,group_ID,runtime,container0,container1,container2
19573,23,23,1081.0,0.00885,4.72739,113.0
19575,86,87,895.0,0.02326,3.7612,43.0
19576,46,46,45811.0,0.00311,5.77455,322.0
19577,104,105,14.0,0.00833,4.78749,120.0
19578,86,87,14082.0,0.01562,4.15888,64.0
19580,86,87,2253.0,0.03125,3.46574,32.0
19581,86,87,1722.0,0.02326,3.7612,43.0
19582,72,72,4.0,0.5,0.69315,2.0
19583,72,72,10.0,1.0,0.0,1.0
19584,72,72,17.0,0.1,2.30259,10.0
19585,72,72,31.0,1.0,0.0,1.0
19586,72,72,2.0,0.25,1.38629,4.0
19587,72,72,2.0,1.0,0.0,1.0
19588,72,72,2.0,0.1,2.30259,10.0
19589,72,72,55.0,0.16667,1.79176,6.0
19590,72,72,2.0,0.2,1.60944,5.0
19591,72,72,4.0,0.5,0.69315,2.0
19592,72,72,73.0,0.1,2.30259,10.0
19593,72,72,10.0,1.0,0.0,1.0
19594,72,72,13.0,0.1,2.30259,10.0
19595,72,72,10.0,1.0,0.0,1.0
19596,72,72,10.0,1.0,0.0,1.0
19597,72,72,10.0,1.0,0.0,1.0
19598,72,72,183.0,0.5,0.69315,2.0
19599,72,72,10.0,0.5,0.69315,2.0
19600,72,72,10.0,1.0,0.0,1.0
19601,72,72,10.0,0.5,0.69315,2.0
19602,72,72,10.0,0.5,0.69315,2.0
19603,72,72,10.0,0.5,0.69315,2.0
19604,72,72,11.0,0.5,0.69315,2.0
19605,72,72,31.0,1.0,0.0,1.0
19606,72,72,68.0,1.0,0.0,1.0
19607,72,72,31.0,1.0,0.0,1.0
19609,86,87,2.0,0.03125,3.46574,32.0
19610,86,87,7101.0,0.03125,3.46574,32.0
19611,46,46,41215.0,0.00311,5.77455,322.0
19612,86,87,1159.0,0.02326,3.7612,43.0
19613,86,87,141.0,0.02326,3.7612,43.0
19615,86,87,56918.0,0.00195,6.23832,512.0
19620,23,23,2665.0,0.005,5.29832,200.0
19623,104,105,1.0,0.00833,4.78749,120.0
19624,104,105,1.0,0.00833,4.78749,120.0
19625,86,87,30794.0,0.03125,3.46574,32.0
19627,86,87,842.0,0.02326,3.7612,43.0
19628,46,46,45869.0,0.00311,5.77455,322.0
19629,86,87,86.0,1.0,0.0,1.0
19630,86,87,3713.0,0.03125,3.46574,32.0
19631,104,105,45748.0,0.01667,4.09434,60.0
19632,86,87,3384.0,0.00585,5.14166,171.0
19634,104,105,70.0,0.00556,5.19296,180.0
19635,86,87,3364.0,0.02326,3.7612,43.0
19636,46,46,41849.0,0.00311,5.77455,322.0
19637,86,87,48536.0,0.01562,4.15888,64.0
19638,86,87,48579.0,0.03125,3.46574,32.0
19641,86,87,3629.0,0.00521,5.2575,192.0
19642,86,87,3623.0,0.00625,5.07517,160.0
19643,86,87,1705.0,0.02326,3.7612,43.0
19644,86,87,421.0,0.0625,2.77259,16.0
19645,86,87,345.0,0.0625,2.77259,16.0
19646,86,87,43047.0,0.00195,6.23832,512.0
19647,86,87,5.0,0.0625,2.77259,16.0
19648,86,87,451.0,0.0625,2.77259,16.0
19649,86,87,1601.0,0.0625,2.77259,16.0
